model,term,r_forward,r_backward,lead_diff,lead_indicator
crfm-gpt2-sm-x5-45,alert dialog,-0.2057,0.2833,-0.489,0
crfm-gpt2-sm-x5-45,alt text,0.4931,-0.2978,0.7909,1
crfm-gpt2-sm-x5-45,aria attribute,0.9325,-0.2378,1.1702,1
crfm-gpt2-sm-x5-45,audio description,0.4519,-0.7267,1.1786,1
crfm-gpt2-sm-x5-45,braille display,0.64,0.2956,0.3445,1
crfm-gpt2-sm-x5-45,captions closed,0.556,-0.0099,0.5659,1
crfm-gpt2-sm-x5-45,cognitive load,0.5007,0.6728,-0.172,0
crfm-gpt2-sm-x5-45,color contrast,0.5884,-0.2074,0.7959,1
crfm-gpt2-sm-x5-45,contrast ratio,0.3104,-0.252,0.5624,1
crfm-gpt2-sm-x5-45,error identification,0.4381,0.5464,-0.1083,0
crfm-gpt2-sm-x5-45,eye tracking,0.6112,0.4838,0.1274,1
crfm-gpt2-sm-x5-45,focus indicator,-0.2775,-0.1239,-0.1536,0
crfm-gpt2-sm-x5-45,focus management,0.0909,0.7995,-0.7086,0
crfm-gpt2-sm-x5-45,focus trap,0.7734,-0.359,1.1324,1
crfm-gpt2-sm-x5-45,haptic feedback,0.2827,0.7247,-0.442,0
crfm-gpt2-sm-x5-45,heading structure,0.1185,0.4121,-0.2936,0
crfm-gpt2-sm-x5-45,high contrast,0.4876,0.0474,0.4402,1
crfm-gpt2-sm-x5-45,input purpose,0.1519,0.3562,-0.2044,0
crfm-gpt2-sm-x5-45,keyboard navigation,0.0661,0.67,-0.6039,0
crfm-gpt2-sm-x5-45,keyboard shortcut,0.2821,-0.4541,0.7363,1
crfm-gpt2-sm-x5-45,landmark region,0.7403,0.6535,0.0869,1
crfm-gpt2-sm-x5-45,live region,0.8049,0.7494,0.0555,1
crfm-gpt2-sm-x5-45,motion sensitivity,0.6351,-0.145,0.7801,1
crfm-gpt2-sm-x5-45,non-text content,0.2409,0.7031,-0.4622,0
crfm-gpt2-sm-x5-45,orientation support,0.7853,0.2459,0.5394,1
crfm-gpt2-sm-x5-45,plain language,0.6381,0.5583,0.0798,1
crfm-gpt2-sm-x5-45,reduced motion,0.7326,0.8838,-0.1512,0
crfm-gpt2-sm-x5-45,reflow content,0.872,0.1676,0.7044,1
crfm-gpt2-sm-x5-45,screen magnifier,-0.0759,0.034,-0.1098,0
crfm-gpt2-sm-x5-45,screen reader,0.7577,-0.2343,0.992,1
crfm-gpt2-sm-x5-45,semantic html,0.3709,0.2965,0.0744,1
crfm-gpt2-sm-x5-45,sign language,0.4884,-0.2371,0.7255,1
crfm-gpt2-sm-x5-45,skip link,0.5471,-0.7594,1.3065,1
crfm-gpt2-sm-x5-45,skip navigation,0.3496,0.4982,-0.1486,0
crfm-gpt2-sm-x5-45,switch access,0.6404,0.175,0.4654,1
crfm-gpt2-sm-x5-45,text resize,0.6021,-0.2218,0.8239,1
crfm-gpt2-sm-x5-45,text spacing,0.6139,0.0004,0.6135,1
crfm-gpt2-sm-x5-45,time limits,0.5939,0.6992,-0.1053,0
crfm-gpt2-sm-x5-45,touch target size,0.3884,0.821,-0.4326,0
crfm-gpt2-sm-x5-45,tree grid,0.3529,-0.1454,0.4984,1
crfm-gpt2-sm-x5-45,voice control,0.4619,0.4298,0.0321,1
