model,term,r_forward,r_backward,lead_diff,lead_indicator
crfm-gpt2-sm-x1-45,alert dialog,0.7254,-0.3669,1.0923,1
crfm-gpt2-sm-x1-45,alt text,0.7164,0.1397,0.5767,1
crfm-gpt2-sm-x1-45,aria attribute,0.6739,0.1741,0.4997,1
crfm-gpt2-sm-x1-45,audio description,0.6041,0.2699,0.3342,1
crfm-gpt2-sm-x1-45,braille display,0.6716,0.2991,0.3725,1
crfm-gpt2-sm-x1-45,captions closed,0.7363,0.6656,0.0707,1
crfm-gpt2-sm-x1-45,cognitive load,0.7161,0.7104,0.0057,1
crfm-gpt2-sm-x1-45,color contrast,-0.0271,0.3566,-0.3837,0
crfm-gpt2-sm-x1-45,contrast ratio,0.2987,0.1216,0.1771,1
crfm-gpt2-sm-x1-45,error identification,0.6996,0.9548,-0.2553,0
crfm-gpt2-sm-x1-45,eye tracking,0.7085,0.8791,-0.1706,0
crfm-gpt2-sm-x1-45,focus indicator,-0.0595,-0.0038,-0.0558,0
crfm-gpt2-sm-x1-45,focus management,0.4228,0.4752,-0.0524,0
crfm-gpt2-sm-x1-45,focus trap,0.4027,0.2049,0.1978,1
crfm-gpt2-sm-x1-45,haptic feedback,0.7919,0.8864,-0.0945,0
crfm-gpt2-sm-x1-45,heading structure,0.3219,0.066,0.2558,1
crfm-gpt2-sm-x1-45,high contrast,0.4488,0.3098,0.139,1
crfm-gpt2-sm-x1-45,input purpose,0.5292,0.0937,0.4355,1
crfm-gpt2-sm-x1-45,keyboard navigation,0.292,0.311,-0.019,0
crfm-gpt2-sm-x1-45,keyboard shortcut,0.2439,0.223,0.0208,1
crfm-gpt2-sm-x1-45,landmark region,0.1937,0.8501,-0.6564,0
crfm-gpt2-sm-x1-45,live region,0.6815,0.7743,-0.0928,0
crfm-gpt2-sm-x1-45,motion sensitivity,0.4124,0.7664,-0.3539,0
crfm-gpt2-sm-x1-45,non-text content,0.4241,0.4829,-0.0588,0
crfm-gpt2-sm-x1-45,orientation support,0.555,0.173,0.382,1
crfm-gpt2-sm-x1-45,plain language,0.5266,0.7192,-0.1926,0
crfm-gpt2-sm-x1-45,reduced motion,0.6976,0.4179,0.2797,1
crfm-gpt2-sm-x1-45,reflow content,0.821,0.1219,0.6992,1
crfm-gpt2-sm-x1-45,screen magnifier,0.5565,0.3537,0.2029,1
crfm-gpt2-sm-x1-45,screen reader,0.3614,0.3386,0.0228,1
crfm-gpt2-sm-x1-45,semantic html,0.5703,0.4287,0.1416,1
crfm-gpt2-sm-x1-45,sign language,0.5751,-0.0205,0.5956,1
crfm-gpt2-sm-x1-45,skip link,0.5801,0.3846,0.1955,1
crfm-gpt2-sm-x1-45,skip navigation,0.163,-0.084,0.247,1
crfm-gpt2-sm-x1-45,switch access,0.2573,0.5579,-0.3005,0
crfm-gpt2-sm-x1-45,text resize,0.8201,0.7032,0.1169,1
crfm-gpt2-sm-x1-45,text spacing,0.4036,0.3562,0.0474,1
crfm-gpt2-sm-x1-45,time limits,0.4668,0.8384,-0.3716,0
crfm-gpt2-sm-x1-45,touch target size,0.5409,0.135,0.4059,1
crfm-gpt2-sm-x1-45,tree grid,0.4928,-0.1469,0.6396,1
crfm-gpt2-sm-x1-45,voice control,0.6627,0.7169,-0.0542,0
