model,term,r_forward,r_backward,lead_diff,lead_indicator
crfm-gpt2-sm-x3-45,alert dialog,0.7442,-0.3318,1.076,1
crfm-gpt2-sm-x3-45,alt text,0.2434,0.0588,0.1846,1
crfm-gpt2-sm-x3-45,aria attribute,0.6297,0.6081,0.0216,1
crfm-gpt2-sm-x3-45,audio description,0.5484,-0.2759,0.8243,1
crfm-gpt2-sm-x3-45,braille display,0.6394,0.1962,0.4432,1
crfm-gpt2-sm-x3-45,captions closed,0.7607,0.6771,0.0836,1
crfm-gpt2-sm-x3-45,cognitive load,0.5755,0.8533,-0.2778,0
crfm-gpt2-sm-x3-45,color contrast,0.8678,-0.3313,1.1991,1
crfm-gpt2-sm-x3-45,contrast ratio,0.6516,0.3653,0.2863,1
crfm-gpt2-sm-x3-45,error identification,0.7292,0.1639,0.5653,1
crfm-gpt2-sm-x3-45,eye tracking,0.4336,0.6574,-0.2238,0
crfm-gpt2-sm-x3-45,focus indicator,0.2811,0.4127,-0.1316,0
crfm-gpt2-sm-x3-45,focus management,0.3883,0.7409,-0.3526,0
crfm-gpt2-sm-x3-45,focus trap,0.2263,0.0847,0.1416,1
crfm-gpt2-sm-x3-45,haptic feedback,0.4919,0.2301,0.2618,1
crfm-gpt2-sm-x3-45,heading structure,0.2575,0.1026,0.1548,1
crfm-gpt2-sm-x3-45,high contrast,0.7805,-0.1012,0.8817,1
crfm-gpt2-sm-x3-45,input purpose,0.7551,0.2017,0.5534,1
crfm-gpt2-sm-x3-45,keyboard navigation,0.5755,-0.3842,0.9597,1
crfm-gpt2-sm-x3-45,keyboard shortcut,0.1108,-0.2599,0.3707,1
crfm-gpt2-sm-x3-45,landmark region,-0.0817,-0.0485,-0.0332,0
crfm-gpt2-sm-x3-45,live region,0.5534,0.3811,0.1723,1
crfm-gpt2-sm-x3-45,motion sensitivity,0.7357,0.5694,0.1663,1
crfm-gpt2-sm-x3-45,non-text content,0.6571,0.5957,0.0614,1
crfm-gpt2-sm-x3-45,orientation support,0.9152,0.2705,0.6447,1
crfm-gpt2-sm-x3-45,plain language,0.7237,0.3021,0.4216,1
crfm-gpt2-sm-x3-45,reduced motion,0.7972,0.7856,0.0115,1
crfm-gpt2-sm-x3-45,reflow content,0.6004,-0.333,0.9333,1
crfm-gpt2-sm-x3-45,screen magnifier,0.7104,0.3653,0.3451,1
crfm-gpt2-sm-x3-45,screen reader,0.3883,0.3458,0.0425,1
crfm-gpt2-sm-x3-45,semantic html,0.4964,-0.0848,0.5813,1
crfm-gpt2-sm-x3-45,sign language,0.5299,0.5289,0.001,1
crfm-gpt2-sm-x3-45,skip link,0.1295,-0.2177,0.3472,1
crfm-gpt2-sm-x3-45,skip navigation,0.5613,0.2216,0.3397,1
crfm-gpt2-sm-x3-45,switch access,0.7296,0.4133,0.3163,1
crfm-gpt2-sm-x3-45,text resize,0.7375,-0.2151,0.9527,1
crfm-gpt2-sm-x3-45,text spacing,0.5063,0.3007,0.2056,1
crfm-gpt2-sm-x3-45,time limits,0.5871,0.5294,0.0577,1
crfm-gpt2-sm-x3-45,touch target size,0.8439,0.315,0.5289,1
crfm-gpt2-sm-x3-45,tree grid,0.1895,0.0685,0.121,1
crfm-gpt2-sm-x3-45,voice control,0.4631,-0.3053,0.7684,1
