model,term,r_forward,r_backward,lead_diff,lead_indicator
crfm-gpt2-sm-x2-45,alert dialog,0.74,-0.1105,0.8505,1
crfm-gpt2-sm-x2-45,alt text,0.6039,-0.5222,1.1261,1
crfm-gpt2-sm-x2-45,aria attribute,0.4736,0.5953,-0.1217,0
crfm-gpt2-sm-x2-45,audio description,0.7178,-0.2625,0.9802,1
crfm-gpt2-sm-x2-45,braille display,0.4951,0.7011,-0.206,0
crfm-gpt2-sm-x2-45,captions closed,0.4903,0.2912,0.1991,1
crfm-gpt2-sm-x2-45,cognitive load,0.7874,0.2703,0.5172,1
crfm-gpt2-sm-x2-45,color contrast,0.4775,-0.3361,0.8136,1
crfm-gpt2-sm-x2-45,contrast ratio,0.5123,-0.5534,1.0657,1
crfm-gpt2-sm-x2-45,error identification,0.5851,0.4022,0.1829,1
crfm-gpt2-sm-x2-45,eye tracking,0.5983,0.3918,0.2065,1
crfm-gpt2-sm-x2-45,focus indicator,0.659,-0.512,1.171,1
crfm-gpt2-sm-x2-45,focus management,0.286,0.6825,-0.3965,0
crfm-gpt2-sm-x2-45,focus trap,0.6944,-0.1934,0.8878,1
crfm-gpt2-sm-x2-45,haptic feedback,0.2771,0.3494,-0.0723,0
crfm-gpt2-sm-x2-45,heading structure,0.8322,0.1551,0.6771,1
crfm-gpt2-sm-x2-45,high contrast,0.8554,0.58,0.2754,1
crfm-gpt2-sm-x2-45,input purpose,0.7098,-0.3875,1.0974,1
crfm-gpt2-sm-x2-45,keyboard navigation,0.4969,-0.2812,0.7781,1
crfm-gpt2-sm-x2-45,keyboard shortcut,0.3807,-0.4187,0.7994,1
crfm-gpt2-sm-x2-45,landmark region,0.4746,0.2271,0.2475,1
crfm-gpt2-sm-x2-45,live region,0.6919,0.1161,0.5758,1
crfm-gpt2-sm-x2-45,motion sensitivity,0.598,0.5771,0.0209,1
crfm-gpt2-sm-x2-45,non-text content,0.6673,0.0589,0.6084,1
crfm-gpt2-sm-x2-45,orientation support,0.6101,-0.5148,1.125,1
crfm-gpt2-sm-x2-45,plain language,0.6193,0.5012,0.1181,1
crfm-gpt2-sm-x2-45,reduced motion,0.4781,0.5517,-0.0736,0
crfm-gpt2-sm-x2-45,reflow content,0.5453,0.081,0.4644,1
crfm-gpt2-sm-x2-45,screen magnifier,0.3245,0.0683,0.2562,1
crfm-gpt2-sm-x2-45,screen reader,0.1998,0.2313,-0.0316,0
crfm-gpt2-sm-x2-45,semantic html,-0.0361,0.3903,-0.4265,0
crfm-gpt2-sm-x2-45,sign language,0.6948,0.3252,0.3696,1
crfm-gpt2-sm-x2-45,skip link,0.637,-0.2697,0.9067,1
crfm-gpt2-sm-x2-45,skip navigation,0.2287,-0.3697,0.5983,1
crfm-gpt2-sm-x2-45,switch access,0.3022,0.1049,0.1973,1
crfm-gpt2-sm-x2-45,text resize,0.4958,0.8234,-0.3276,0
crfm-gpt2-sm-x2-45,text spacing,0.4412,0.6454,-0.2042,0
crfm-gpt2-sm-x2-45,time limits,0.6567,0.4408,0.2158,1
crfm-gpt2-sm-x2-45,touch target size,0.5149,-0.1042,0.6191,1
crfm-gpt2-sm-x2-45,tree grid,0.6707,-0.0745,0.7452,1
crfm-gpt2-sm-x2-45,voice control,0.8084,0.5487,0.2596,1
