model,term,rho_early,rho_late,decouple_strict,decouple_attenuate
crfm-gpt2-sm-x2-45,alert dialog,0.2,0.6,0,0
crfm-gpt2-sm-x2-45,alt text,0.0,0.8,0,0
crfm-gpt2-sm-x2-45,aria attribute,-1.0,-0.2,0,0
crfm-gpt2-sm-x2-45,audio description,0.4,0.2,0,0
crfm-gpt2-sm-x2-45,braille display,0.6325,0.0,1,1
crfm-gpt2-sm-x2-45,captions closed,0.6325,-0.6325,1,1
crfm-gpt2-sm-x2-45,cognitive load,0.2,-0.3162,1,1
crfm-gpt2-sm-x2-45,color contrast,-0.1054,-0.6,0,0
crfm-gpt2-sm-x2-45,contrast ratio,-0.1054,0.0,0,0
crfm-gpt2-sm-x2-45,error identification,0.4,0.6,0,0
crfm-gpt2-sm-x2-45,eye tracking,0.2582,-0.3162,1,1
crfm-gpt2-sm-x2-45,focus indicator,0.4,-0.3162,1,1
crfm-gpt2-sm-x2-45,focus management,0.8,0.6325,0,0
crfm-gpt2-sm-x2-45,focus trap,0.2108,0.9487,0,0
crfm-gpt2-sm-x2-45,haptic feedback,-0.2582,0.9487,0,0
crfm-gpt2-sm-x2-45,heading structure,0.4,-0.2108,1,1
crfm-gpt2-sm-x2-45,high contrast,0.7379,-0.1054,1,1
crfm-gpt2-sm-x2-45,input purpose,0.2,0.8,0,0
crfm-gpt2-sm-x2-45,keyboard navigation,0.8,0.9487,0,0
crfm-gpt2-sm-x2-45,keyboard shortcut,0.6325,1.0,0,0
crfm-gpt2-sm-x2-45,landmark region,0.3162,0.8944,0,0
crfm-gpt2-sm-x2-45,live region,0.6325,-0.8944,1,1
crfm-gpt2-sm-x2-45,motion sensitivity,0.9487,0.2582,0,1
crfm-gpt2-sm-x2-45,non-text content,0.4,0.8,0,0
crfm-gpt2-sm-x2-45,orientation support,0.8,-0.2108,1,1
crfm-gpt2-sm-x2-45,plain language,1.0,-0.2108,1,1
crfm-gpt2-sm-x2-45,reduced motion,0.2,0.3162,0,0
crfm-gpt2-sm-x2-45,reflow content,0.4,0.2,0,0
crfm-gpt2-sm-x2-45,screen magnifier,0.3162,0.6325,0,0
crfm-gpt2-sm-x2-45,screen reader,0.4,-0.6,1,1
crfm-gpt2-sm-x2-45,semantic html,0.6325,-0.2582,1,1
crfm-gpt2-sm-x2-45,sign language,0.7379,-0.1054,1,1
crfm-gpt2-sm-x2-45,skip link,-0.2,-0.8,0,0
crfm-gpt2-sm-x2-45,skip navigation,-0.4,-0.2,0,0
crfm-gpt2-sm-x2-45,switch access,0.4,0.8,0,0
crfm-gpt2-sm-x2-45,text resize,1.0,0.8,0,0
crfm-gpt2-sm-x2-45,text spacing,1.0,0.0,1,1
crfm-gpt2-sm-x2-45,time limits,0.7379,-0.9487,1,1
crfm-gpt2-sm-x2-45,touch target size,0.6325,0.2582,0,1
crfm-gpt2-sm-x2-45,tree grid,0.8,0.6,0,0
crfm-gpt2-sm-x2-45,voice control,1.0,0.2,0,1
