model,term,rho_early,rho_late,decouple_strict,decouple_attenuate
crfm-gpt2-sm-x1-45,alert dialog,0.6325,-0.8,1,1
crfm-gpt2-sm-x1-45,alt text,0.4,0.7379,0,0
crfm-gpt2-sm-x1-45,aria attribute,0.2108,0.0,1,1
crfm-gpt2-sm-x1-45,audio description,0.4,-0.2,1,1
crfm-gpt2-sm-x1-45,braille display,0.6325,0.3162,0,0
crfm-gpt2-sm-x1-45,captions closed,0.0,-0.4,0,0
crfm-gpt2-sm-x1-45,cognitive load,0.4,0.4,0,0
crfm-gpt2-sm-x1-45,color contrast,0.6325,0.8944,0,0
crfm-gpt2-sm-x1-45,contrast ratio,0.4,-0.3162,1,1
crfm-gpt2-sm-x1-45,error identification,0.8,-0.3162,1,1
crfm-gpt2-sm-x1-45,eye tracking,0.8,-0.9487,1,1
crfm-gpt2-sm-x1-45,focus indicator,0.2,1.0,0,0
crfm-gpt2-sm-x1-45,focus management,0.2,0.8,0,0
crfm-gpt2-sm-x1-45,focus trap,0.3162,0.3162,0,0
crfm-gpt2-sm-x1-45,haptic feedback,1.0,-0.7746,1,1
crfm-gpt2-sm-x1-45,heading structure,1.0,0.4,0,1
crfm-gpt2-sm-x1-45,high contrast,0.8,0.2,0,1
crfm-gpt2-sm-x1-45,input purpose,-0.1054,-0.7746,0,0
crfm-gpt2-sm-x1-45,keyboard navigation,0.4,-0.9487,1,1
crfm-gpt2-sm-x1-45,keyboard shortcut,0.4,-0.2,1,1
crfm-gpt2-sm-x1-45,landmark region,0.0,0.9487,0,0
crfm-gpt2-sm-x1-45,live region,0.8,-0.2,1,1
crfm-gpt2-sm-x1-45,motion sensitivity,0.3162,-0.2582,1,1
crfm-gpt2-sm-x1-45,non-text content,0.4,-0.2,1,1
crfm-gpt2-sm-x1-45,orientation support,0.4,-0.2582,1,1
crfm-gpt2-sm-x1-45,plain language,0.4,0.7379,0,0
crfm-gpt2-sm-x1-45,reduced motion,0.9487,-0.9487,1,1
crfm-gpt2-sm-x1-45,reflow content,-0.4,-0.3162,0,0
crfm-gpt2-sm-x1-45,screen magnifier,0.3162,0.3162,0,0
crfm-gpt2-sm-x1-45,screen reader,0.9487,0.2108,0,1
crfm-gpt2-sm-x1-45,semantic html,0.2,0.2582,0,0
crfm-gpt2-sm-x1-45,sign language,0.3162,-0.2582,1,1
crfm-gpt2-sm-x1-45,skip link,0.7379,-0.2108,1,1
crfm-gpt2-sm-x1-45,skip navigation,-0.6325,-0.6325,0,0
crfm-gpt2-sm-x1-45,switch access,0.2,-0.9487,1,1
crfm-gpt2-sm-x1-45,text resize,0.3162,0.8,0,0
crfm-gpt2-sm-x1-45,text spacing,0.2,0.0,1,1
crfm-gpt2-sm-x1-45,time limits,0.9487,-0.9487,1,1
crfm-gpt2-sm-x1-45,touch target size,0.2,-0.7746,1,1
crfm-gpt2-sm-x1-45,tree grid,0.4,-0.8,1,1
crfm-gpt2-sm-x1-45,voice control,0.8,0.2,0,1
