model,term,rho_early,rho_late,decouple_strict,decouple_attenuate
crfm-gpt2-sm-x3-45,alert dialog,0.4,1.0,0,0
crfm-gpt2-sm-x3-45,alt text,1.0,-0.4,1,1
crfm-gpt2-sm-x3-45,aria attribute,0.4,0.9487,0,0
crfm-gpt2-sm-x3-45,audio description,0.2,1.0,0,0
crfm-gpt2-sm-x3-45,braille display,0.4,-0.3162,1,1
crfm-gpt2-sm-x3-45,captions closed,0.2,0.2,0,0
crfm-gpt2-sm-x3-45,cognitive load,0.8,0.6325,0,0
crfm-gpt2-sm-x3-45,color contrast,0.1054,0.6,0,0
crfm-gpt2-sm-x3-45,contrast ratio,0.6325,0.8944,0,0
crfm-gpt2-sm-x3-45,error identification,0.8,0.7379,0,0
crfm-gpt2-sm-x3-45,eye tracking,0.6325,0.3162,0,0
crfm-gpt2-sm-x3-45,focus indicator,0.8,-0.2108,1,1
crfm-gpt2-sm-x3-45,focus management,0.8,1.0,0,0
crfm-gpt2-sm-x3-45,focus trap,0.8,0.6325,0,0
crfm-gpt2-sm-x3-45,haptic feedback,0.3162,0.7746,0,0
crfm-gpt2-sm-x3-45,heading structure,0.2582,0.6325,0,0
crfm-gpt2-sm-x3-45,high contrast,0.4,0.0,1,1
crfm-gpt2-sm-x3-45,input purpose,0.2,-0.1054,1,1
crfm-gpt2-sm-x3-45,keyboard navigation,0.8,0.4,0,0
crfm-gpt2-sm-x3-45,keyboard shortcut,0.3162,-0.3162,1,1
crfm-gpt2-sm-x3-45,landmark region,0.9487,-0.3162,1,1
crfm-gpt2-sm-x3-45,live region,0.4,0.2582,0,0
crfm-gpt2-sm-x3-45,motion sensitivity,0.3162,0.7746,0,0
crfm-gpt2-sm-x3-45,non-text content,1.0,0.8,0,0
crfm-gpt2-sm-x3-45,orientation support,0.6325,0.7746,0,0
crfm-gpt2-sm-x3-45,plain language,0.9487,0.6325,0,0
crfm-gpt2-sm-x3-45,reduced motion,0.9487,0.9487,0,0
crfm-gpt2-sm-x3-45,reflow content,0.4,0.4,0,0
crfm-gpt2-sm-x3-45,screen magnifier,0.6325,0.6325,0,0
crfm-gpt2-sm-x3-45,screen reader,0.4,-0.3162,1,1
crfm-gpt2-sm-x3-45,semantic html,1.0,0.6325,0,0
crfm-gpt2-sm-x3-45,sign language,0.3162,0.6325,0,0
crfm-gpt2-sm-x3-45,skip link,0.8,0.6,0,0
crfm-gpt2-sm-x3-45,skip navigation,0.9487,0.2582,0,1
crfm-gpt2-sm-x3-45,switch access,0.3162,0.3162,0,0
crfm-gpt2-sm-x3-45,text resize,0.8,0.9487,0,0
crfm-gpt2-sm-x3-45,text spacing,0.4,1.0,0,0
crfm-gpt2-sm-x3-45,time limits,0.6325,0.7379,0,0
crfm-gpt2-sm-x3-45,touch target size,0.6325,0.7746,0,0
crfm-gpt2-sm-x3-45,tree grid,1.0,0.9487,0,0
crfm-gpt2-sm-x3-45,voice control,0.8,-0.2108,1,1
